iter	Passed	Remaining
401	10203	15178
402	10228	15151
403	10252	15125
404	10277	15099
405	10305	15076
406	10328	15049
407	10354	15023
408	10377	14995
409	10403	14971
410	10430	14947
411	10456	14923
412	10482	14899
413	10509	14875
414	10533	14848
415	10559	14823
416	10585	14799
417	10612	14775
418	10636	14748
419	10660	14721
420	10685	14695
421	10710	14670
422	10741	14652
423	10759	14616
424	10785	14592
425	10810	14565
426	10838	14544
427	10862	14517
428	10889	14493
429	10920	14476
430	10944	14449
431	10971	14425
432	10996	14399
433	11026	14379
434	11050	14353
435	11077	14329
436	11140	14352
437	11189	14357
438	11224	14343
439	11259	14330
440	11283	14302
441	11295	14259
442	11326	14241
443	11345	14207
444	11358	14166
445	11386	14144
446	11398	14102
447	11424	14076
448	11448	14049
449	11473	14023
450	11500	13999
451	11532	13981
452	11561	13960
453	11586	13934
454	11612	13909
455	11638	13884
456	11664	13859
457	11688	13832
458	11713	13805
459	11737	13778
460	11761	13751
461	11790	13730
462	11824	13714
463	11858	13698
464	11884	13673
465	11908	13646
466	11939	13626
467	11964	13600
468	11990	13575
469	12017	13552
470	12042	13524
471	12062	13494
472	12095	13476
473	12165	13500
474	12201	13486
475	12226	13459
476	12250	13432
477	12275	13405
478	12299	13378
479	12310	13336
480	12333	13308
481	12357	13279
482	12387	13259
483	12419	13240
484	12433	13202
485	12462	13180
486	12492	13159
487	12519	13134
488	12543	13107
489	12567	13080
490	12596	13057
491	12623	13034
492	12639	12998
493	12666	12974
494	12690	12946
495	12721	12927
496	12746	12900
497	12770	12872
498	12789	12841
499	12809	12809
500	12834	12783
501	12861	12759
502	12885	12732
503	12896	12691
504	12920	12664
505	12946	12639
506	12971	12613
507	12998	12588
508	13022	12561
509	13046	12535
510	13071	12508
511	13095	12481
512	13106	12442
513	13121	12406
514	13145	12379
515	13171	12354
516	13196	12329
517	13220	12301
518	13245	12275
519	13272	12251
520	13297	12225
521	13320	12197
522	13345	12171
523	13369	12144
524	13394	12118
525	13420	12094
526	13445	12067
527	13469	12040
528	13495	12015
529	13518	11988
530	13543	11962
531	13569	11936
532	13577	11896
533	13603	11870
534	13617	11836
535	13641	11808
536	13664	11781
537	13688	11755
538	13712	11728
539	13736	11701
540	13760	11674
541	13784	11648
542	13797	11612
543	13822	11586
544	13846	11560
545	13870	11533
546	13884	11498
547	13909	11472
548	13930	11443
549	13955	11418
550	13980	11392
551	14005	11366
552	14029	11340
553	14039	11302
554	14070	11281
555	14097	11258
556	14123	11232
557	14146	11205
558	14158	11169
559	14182	11143
560	14207	11117
561	14237	11095
562	14265	11072
563	14280	11039
564	14320	11025
565	14425	11061
566	14452	11036
567	14500	11028
568	14643	11091
569	14703	11092
570	14832	11144
571	15000	11224
572	15327	11422
573	15364	11402
574	15399	11382
575	15431	11359
576	15461	11334
577	15490	11309
578	15519	11284
579	15545	11256
580	15578	11234
581	15604	11207
582	15632	11181
583	15645	11144
584	15676	11121
585	15704	11095
586	15731	11068
587	15757	11041
588	15768	11003
589	15796	10977
590	15823	10950
591	15849	10922
592	15877	10897
593	15905	10871
594	15956	10861
595	15983	10834
596	16009	10807
597	16035	10779
598	16065	10755
599	16092	10728
600	16118	10700
601	16138	10669
602	16164	10642
603	16194	10617
604	16224	10592
605	16254	10567
606	16282	10541
607	16307	10513
608	16319	10477
609	16354	10456
610	16402	10442
611	16495	10457
612	16524	10432
613	16556	10408
614	16580	10379
615	16603	10350
616	16623	10318
617	16646	10289
618	16662	10256
619	16688	10228
620	16706	10195
621	16733	10169
622	16753	10138
623	16777	10109
624	16803	10081
625	16828	10053
626	16856	10027
627	16881	10000
628	16906	9972
629	16933	9945
630	16957	9916
631	16981	9888
632	17006	9859
633	17030	9831
634	17054	9802
635	17079	9775
636	17092	9740
637	17116	9711
638	17141	9684
639	17165	9655
640	17189	9627
641	17199	9591
642	17224	9563
643	17248	9534
644	17278	9510
645	17303	9481
646	17332	9456
647	17355	9427
648	17379	9399
649	17403	9371
650	17424	9341
651	17448	9313
652	17472	9284
653	17497	9257
654	17510	9223
655	17536	9196
656	17562	9168
657	17586	9140
658	17612	9113
659	17637	9086
660	17665	9059
661	17688	9031
662	17699	8996
663	17726	8970
664	17752	8943
665	17777	8915
666	17800	8886
667	17824	8859
668	17836	8825
669	17861	8797
670	17888	8771
671	17914	8744
672	17940	8716
673	17963	8688
674	17988	8661
675	18011	8632
676	18035	8604
677	18059	8576
678	18083	8549
679	18104	8519
680	18130	8492
681	18141	8458
682	18170	8433
683	18194	8405
684	18222	8379
685	18247	8352
686	18274	8325
687	18303	8300
688	18332	8274
689	18366	8251
690	18382	8220
691	18393	8186
692	18421	8160
693	18446	8133
694	18471	8106
695	18496	8078
696	18520	8051
697	18547	8025
698	18564	7994
699	18592	7968
700	18620	7942
701	18645	7915
702	18673	7889
703	18695	7860
704	18720	7833
705	18746	7806
706	18773	7780
707	18796	7752
708	18821	7724
709	18846	7697
710	18871	7670
711	18896	7643
712	18909	7611
713	18934	7584
714	19004	7575
715	19030	7548
716	19067	7525
717	19079	7493
718	19104	7466
719	19130	7439
720	19154	7412
721	19179	7385
722	19205	7358
723	19230	7330
724	19255	7303
725	19267	7271
726	19293	7245
727	19317	7217
728	19343	7190
729	19369	7163
730	19394	7136
731	19404	7104
732	19429	7077
733	19455	7050
734	19487	7026
735	19513	6999
736	19524	6967
737	19545	6939
738	19570	6911
739	19596	6885
740	19623	6859
741	19649	6832
742	19663	6801
743	19687	6774
744	19711	6746
745	19737	6720
746	19765	6694
747	19790	6667
748	19826	6644
749	19853	6617
750	19878	6590
751	19902	6563
752	19926	6536
753	19951	6509
754	19975	6482
755	19985	6450
756	20018	6426
757	20043	6399
758	20068	6372
759	20094	6345
760	20122	6319
761	20159	6296
762	20185	6269
763	20211	6243
764	20237	6216
765	20271	6192
766	20295	6165
767	20320	6138
768	20345	6111
769	20371	6084
770	20406	6061
771	20433	6034
772	20461	6008
773	20492	5983
774	20519	5957
775	20534	5927
776	20552	5898
777	20580	5872
778	20605	5845
779	20635	5820
780	20659	5793
781	20684	5766
782	20696	5735
783	20721	5708
784	20747	5682
785	20761	5652
786	20786	5625
787	20801	5596
788	20829	5570
789	20853	5543
790	20879	5516
791	20905	5490
792	20930	5463
793	20955	5436
794	20980	5410
795	21005	5383
796	21030	5356
797	21054	5329
798	21065	5299
799	21094	5273
800	21118	5246
801	21142	5219
802	21168	5193
803	21179	5163
804	21204	5136
805	21228	5109
806	21251	5082
807	21275	5055
808	21296	5027
809	21321	5001
810	21347	4974
811	21369	4947
812	21380	4917
813	21406	4891
814	21431	4864
815	21455	4838
816	21479	4811
817	21503	4784
818	21524	4756
819	21548	4730
820	21571	4703
821	21594	4676
822	21620	4649
823	21643	4622
824	21667	4596
825	21677	4566
826	21690	4537
827	21714	4510
828	21737	4483
829	21747	4454
830	21768	4426
831	21778	4397
832	21802	4371
833	21826	4344
834	21849	4317
835	21873	4290
836	21891	4263
837	21917	4237
838	21944	4210
839	21968	4184
840	21992	4157
841	22017	4131
842	22041	4104
843	22066	4078
844	22099	4053
845	22125	4027
846	22151	4001
847	22174	3974
848	22198	3948
849	22221	3921
850	22245	3894
851	22269	3868
852	22293	3841
853	22309	3814
854	22333	3787
855	22358	3761
856	22382	3734
857	22407	3708
858	22431	3682
859	22455	3655
860	22481	3629
861	22508	3603
862	22521	3575
863	22554	3550
864	22578	3523
865	22606	3497
866	22630	3471
867	22643	3443
868	22668	3417
869	22694	3391
870	22719	3364
871	22744	3338
872	22769	3312
873	22797	3286
874	22822	3260
875	22845	3233
876	22871	3207
877	22896	3181
878	22921	3155
879	22945	3128
880	22968	3102
881	22992	3076
882	23015	3049
883	23030	3022
884	23053	2995
885	23077	2969
886	23102	2943
887	23126	2916
888	23151	2890
889	23176	2864
890	23201	2838
891	23224	2811
892	23248	2785
893	23273	2759
894	23298	2733
895	23323	2707
896	23354	2681
897	23379	2655
898	23389	2627
899	23418	2602
900	23441	2575
901	23457	2548
902	23470	2521
903	23495	2495
904	23512	2468
905	23523	2440
906	23532	2412
907	23559	2387
908	23573	2359
909	23600	2334
910	23617	2307
911	23641	2281
912	23656	2254
913	23700	2230
914	23726	2204
915	23755	2178
916	23789	2153
917	23814	2127
918	23839	2101
919	23859	2074
920	23890	2049
921	23902	2022
922	23926	1996
923	23950	1969
924	23959	1942
925	23984	1916
926	24005	1890
927	24030	1864
928	24053	1838
929	24078	1812
930	24102	1786
931	24111	1759
932	24135	1733
933	24159	1707
934	24183	1681
935	24207	1655
936	24231	1629
937	24253	1603
938	24263	1576
939	24296	1550
940	24320	1524
941	24352	1499
942	24376	1473
943	24402	1447
944	24415	1421
945	24439	1395
946	24463	1369
947	24486	1343
948	24502	1316
949	24525	1290
950	24549	1264
951	24572	1238
952	24597	1213
953	24620	1187
954	24630	1160
955	24640	1134
956	24663	1108
957	24687	1082
958	24701	1056
959	24728	1030
960	24755	1004
961	24786	979
962	24813	953
963	24840	927
964	24875	902
965	24913	876
966	24943	851
967	24971	825
968	25000	799
969	25023	773
970	25058	748
971	25083	722
972	25109	696
973	25123	670
974	25153	644
975	25187	619
976	25221	593
977	25251	568
978	25280	542
979	25307	516
980	25335	490
981	25358	464
982	25386	439
983	25413	413
984	25440	387
985	25453	361
986	25471	335
987	25497	309
988	25513	283
989	25539	257
990	25568	232
991	25593	206
992	25620	180
993	25646	154
994	25675	129
995	25696	103
996	25723	77
997	25746	51
998	25767	25
999	25788	0
