address,area,house_direction,balcony_direction,floors,bedrooms,bathrooms,legal_status,furniture_state,price,year,property_type,property_feature,lat,lng
"HXH 330/, Đường Phan Đình Phùng, Phường 1, Phú Nhuận, Hồ Chí Minh",57.4,,,3.0,3.0,2.0,Have certificate,Basic,4.05,2024,Unknown,Unknown,10.79864149,106.6812137
"Đường Nguyễn Thượng Hiền, Phường 5, Bình Thạnh, Hồ Chí Minh",51.75,Tây Nam,Tây Nam,4.0,4.0,5.0,Have certificate,,9.2,2024,"Nhà mặt phố, mặt tiền",Hẻm xe hơi,10.81592821,106.6883568
"Dự án Melosa Garden, Đường Vành Đai Trong, Phường Phú Hữu, Quận 9, Hồ Chí Minh",115.0,,,,,,,Full,9.55,2024,Unknown,Unknown,10.8001827,106.7950148
"Phường 11, Tân Bình, Hồ Chí Minh",55.0,,,,,,,,6.8,2024,"Nhà mặt phố, mặt tiền",Hẻm nhỏ,10.79022915,106.6509057
"Hẻm 47/, Đường Nguyễn Văn Đậu, Phường 6, Bình Thạnh, Hồ Chí Minh",56.25,,,3.0,4.0,3.0,Have certificate,Basic,4.29,2024,"Nhà mặt phố, mặt tiền",Hẻm nhỏ,10.80752803,106.6866168
"30/2, Đường Số 47, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",65.0,,,2.0,3.0,3.0,,,4.0,2024,Unknown,Unknown,10.8322117,106.7227816
"Đường Lê Văn Quới, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",80.0,Nam,Nam,5.0,5.0,6.0,,,6.5,2024,"Nhà mặt phố, mặt tiền",Hẻm xe hơi,10.7763485,106.6055558
"Đường Nguyễn Đình Chính, Phường 11, Phú Nhuận, Hồ Chí Minh",38.0,Đông Bắc,Đông Bắc,4.0,3.0,4.0,Have certificate,Full,6.78,2024,"Nhà mặt phố, mặt tiền",Hẻm xe hơi,10.79232818,106.6728312
"Dự án Ny'ah Bình Tây, Đường Nguyễn Văn Luông, Phường 11, Quận 6, Hồ Chí Minh",42.0,,,3.0,2.0,,Have certificate,,6.5,2024,Unknown,Unknown,10.7470118,106.6352095
"Đường Trần Quang Diệu, Phường 14, Quận 3, Hồ Chí Minh",43.5,Tây Nam,Tây Nam,4.0,3.0,4.0,Have certificate,Basic,6.2,2024,"Nhà ngõ, hẻm",Hẻm nhỏ,10.7881313,106.6782608
"189/16, Đường Lý Thái Tổ, Phường 9, Quận 10, Hồ Chí Minh",23.9,,,2.0,2.0,2.0,,,4.2,2024,"Nhà mặt phố, mặt tiền",Unknown,10.7673277,106.6731495
